,District,Grad_Rate,SAT
0,1,84.18459152016545,1447
1,2,82.90312511612352,1373
2,3,84.44979137691237,1372
3,5,77.98471252907943,1219
4,4,83.61115783571628,1312
5,6,67.480323567993,1273
6,31,79.97580779711919,1448
7,7,67.43081867388362,1170
8,9,69.50545759865659,1179
9,12,61.4318418314256,1113
10,10b,75.02010471204188,1301
11,8,57.49444444444445,1173
12,11,70.50984274898079,1216
13,10,76.19534883720931,1195
14,24,75.17939863555968,1307
15,30,71.80244795241363,1437
16,13,88.66777845158683,1282
17,15,75.48664753917457,1260
18,18,70.85941765241128,1154
19,17,75.02825416409624,1209
20,20,68.2353842432062,1357
21,14,68.35509641873278,1228
22,19,64.56121319459818,1125
23,22,82.61324786324786,1535
24,23,62.811676082862526,1198
25,16,53.46394557823129,1174
26,21,73.29562138353917,1244
27,32,69.99548124717577,1158
28,25,72.07351845941058,1411
29,26,83.87495495495496,1421
30,28,82.4127696289905,1466
31,29,75.60372118855874,1221
32,27,67.16287750254496,1308
